track_id;class_name;direction;speed_kmh
109;truck;inbound;49.0
110;car;outbound;48.0
113;car;inbound;70.0
114;car;outbound;41.0
115;car;inbound;73.0
116;car;outbound;37.0
119;car;outbound;42.0
120;car;inbound;70.0
121;car;inbound;76.0
123;car;inbound;53.0
124;car;outbound;36.0
125;truck;inbound;70.0
126;car;inbound;70.0
128;car;outbound;48.0
129;car;outbound;32.0
130;car;inbound;81.0
131;car;inbound;51.0
134;car;outbound;53.0
135;car;outbound;48.0
136;car;outbound;40.0
138;car;inbound;64.0
140;car;inbound;76.0
142;car;outbound;49.0
144;car;inbound;73.0
147;bus;inbound;55.0
151;car;outbound;46.0
152;car;inbound;73.0
153;car;inbound;70.0
154;car;outbound;53.0
158;car;inbound;70.0
163;car;outbound;42.0
165;car;outbound;55.0
168;car;inbound;53.0
169;car;outbound;42.0
170;car;inbound;70.0
176;car;inbound;67.0
180;car;inbound;64.0
183;car;outbound;55.0
184;car;outbound;46.0
192;car;inbound;70.0
194;truck;outbound;37.0
197;car;inbound;67.0
198;car;outbound;38.0
199;car;inbound;73.0
202;car;inbound;53.0
204;car;outbound;57.0
206;car;outbound;45.0
207;car;outbound;49.0
213;car;inbound;67.0
217;car;outbound;45.0
218;car;outbound;57.0
222;car;outbound;45.0
223;car;inbound;55.0
225;car;inbound;70.0
228;car;inbound;73.0
232;car;inbound;85.0
233;car;outbound;45.0
234;car;inbound;70.0
235;car;outbound;55.0
236;car;outbound;33.0
238;car;outbound;40.0
241;car;outbound;57.0
242;car;inbound;70.0
243;car;outbound;39.0
245;car;outbound;57.0
246;car;inbound;61.0
250;car;inbound;70.0
251;car;outbound;41.0
252;car;outbound;49.0
253;car;inbound;76.0
254;truck;outbound;46.0
255;car;inbound;64.0
257;car;inbound;73.0
260;car;outbound;48.0
261;car;inbound;64.0
263;car;inbound;73.0
264;car;inbound;67.0
265;car;outbound;38.0
266;car;outbound;44.0
268;car;outbound;46.0
270;car;inbound;73.0
273;truck;outbound;49.0
275;car;inbound;118.0
281;car;inbound;64.0
283;car;inbound;81.0
284;car;outbound;48.0
289;car;inbound;64.0
290;car;outbound;48.0
297;car;inbound;70.0
298;car;inbound;81.0
300;car;outbound;46.0
302;car;outbound;45.0
307;car;outbound;42.0
312;car;inbound;76.0
314;car;inbound;67.0
315;car;outbound;48.0
327;car;outbound;46.0
328;car;outbound;49.0
330;car;inbound;76.0
332;car;inbound;59.0
334;car;inbound;76.0
335;car;outbound;48.0
336;car;inbound;76.0
337;car;outbound;46.0
338;car;outbound;35.0
344;car;inbound;59.0
346;car;inbound;76.0
347;car;outbound;45.0
348;car;inbound;70.0
349;car;outbound;41.0
353;car;inbound;70.0
358;car;outbound;34.0
359;car;inbound;57.0
360;car;outbound;49.0
361;car;outbound;49.0
362;car;inbound;67.0
363;car;outbound;38.0
368;car;outbound;49.0
369;car;inbound;67.0
370;car;outbound;38.0
374;car;inbound;61.0
375;car;inbound;67.0
376;car;outbound;46.0
378;truck;outbound;44.0
379;car;inbound;59.0
380;car;inbound;90.0
382;car;outbound;49.0
385;bus;inbound;51.0
387;car;inbound;85.0
390;car;inbound;57.0
391;car;outbound;42.0
396;car;inbound;67.0
398;car;outbound;53.0
403;car;inbound;67.0
406;car;inbound;55.0
412;car;inbound;90.0
413;car;outbound;55.0
414;car;inbound;70.0
